"","genera","Order","Family","Subfamily","col_label"
"223","Paracymus","Coleoptera","Hydrophilidae","","Coleoptera"
"224","Tropisternus","Coleoptera","Hydrophilidae","","Coleoptera"
"225","Xenochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"226","Tanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"227","Liodessus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"228","Goeldichironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"229","Paralauterborniella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"230","Doroneuria","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"231","Glutops","Diptera","Pelecorhynchidae","","Diptera, Non-chironomid"
"232","Amiocentrus","Trichoptera","Brachycentridae","","Trichoptera"
"233","Calineuria","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"234","Paraleuctra","Plecoptera","Leuctridae","Leuctrinae","Plecoptera"
"235","Agathon","Diptera","Blephariceridae","","Diptera, Non-chironomid"
"236","Dicosmoecus","Trichoptera","Limnephilidae","Dicosmoecinae","Trichoptera"
"237","Malenka","Plecoptera","Nemouridae","Amphinemurinae","Plecoptera"
"238","Helobdella","Rhynchobdellida","Glossiphoniidae","","Rhynchobdellida"
"239","Visoka","Plecoptera","Nemouridae","Nemourinae","Plecoptera"
"240","Ormosia","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"241","Monodiamesa","Diptera","Chironomidae","Prodiamesinae","Diptera, Chironomidae"
"242","Odontomesa","Diptera","Chironomidae","Prodiamesinae","Diptera, Chironomidae"
"243","Oreodytes","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"244","Sperchopsis","Coleoptera","Hydrophilidae","","Coleoptera"
"245","Agraylea","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"246","Haliplus","Coleoptera","Haliplidae","","Coleoptera"
"247","Wiedemannia","Diptera","Empididae","Clinocerinae","Diptera, Non-chironomid"
"248","Neoplea","Hemiptera","Pleidae","","Hemiptera"
"249","Mayatrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"250","Crenitis","Coleoptera","Hydrophilidae","","Coleoptera"
"251","Sigara","Hemiptera","Corixidae","Corixinae","Hemiptera"
"252","Axarus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"253","Pseudosmittia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"254","Peltoperla","Plecoptera","Peltoperlidae","Peltoperlinae","Plecoptera"
"255","Lipsothrix","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"256","Goera","Trichoptera","Goeridae","Goerinae","Trichoptera"
"257","Vorticifex","Basommatophora","Planorbidae","","Basommatophora"
"258","Neoperla","Plecoptera","Perlidae","Perlinae","Plecoptera"
"259","Musculium","Veneroida","Sphaeriidae","Sphaeriinae","Veneroida"
"260","Pristina","Tubificida","Naididae","","Tubificida"
"261","Trissopelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"262","Ordobrevia","Coleoptera","Elmidae","","Coleoptera"
"263","Ampumixis","Coleoptera","Elmidae","","Coleoptera"
"264","Atractelmis","Coleoptera","Elmidae","","Coleoptera"
"265","Anagapetus","Trichoptera","Glossosomatidae","Glossosomatinae","Trichoptera"
"266","Orohermes","Megaloptera","Corydalidae","Chauliodinae","Megaloptera"
"267","Perlinodes","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"268","Oligophlebodes","Trichoptera","Uenoidae","Thremmatinae","Trichoptera"
"269","Rhizelmis","Coleoptera","Elmidae","","Coleoptera"
"270","Macrelmis","Coleoptera","Elmidae","","Coleoptera"
"271","Setodes","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"272","Helius","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"273","Hydatophylax","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"274","Claassenia","Plecoptera","Perlidae","Perlinae","Plecoptera"
"275","Campeloma","Mesogastropoda","Viviparidae","","Mesogastropoda"
"276","Stenus","Coleoptera","Staphylinidae","Steninae","Coleoptera"
"277","Xylotopus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"278","Agarodes","Trichoptera","Sericostomatidae","","Trichoptera"
"279","Djalmabatista","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"280","Molanna","Trichoptera","Molannidae","","Trichoptera"
"281","Phylocentropus","Trichoptera","Dipseudopsidae","","Trichoptera"
"282","Dixella","Diptera","Dixidae","","Diptera, Non-chironomid"
"283","Pacifastacus","Decapoda","Astacidae","","Decapoda"
"284","Haplotaxis","Haplotaxida","Haplotaxidae","","Haplotaxida"
"285","Moselia","Plecoptera","Leuctridae","Leuctrinae","Plecoptera"
"286","Limnophyes","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"287","Deuterophlebia","Diptera","Deuterophlebiidae","","Diptera, Non-chironomid"
"288","Sergentia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"289","Psychoglypha","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"290","Boreoheptagyia","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"291","Protanyderus","Diptera","Tanyderidae","","Diptera, Non-chironomid"
"292","Stenocolus","Coleoptera","Eulichadidae","","Coleoptera"
"293","Nimbocera","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"294","Marilia","Trichoptera","Odontoceridae","Odontocerinae","Trichoptera"
"295","Neoelmis","Coleoptera","Elmidae","","Coleoptera"
"296","Thraulodes","Ephemeroptera","Leptophlebiidae","","Ephemeroptera"
"297","Polyplectropus","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"298","Gyretes","Coleoptera","Gyrinidae","","Coleoptera"
"299","Atopsyche","Trichoptera","Hydrobiosidae","","Trichoptera"
"300","Ceratopogon","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"301","Pseudosuccinea","Basommatophora","Lymnaeidae","Lymnaeinae","Basommatophora"
"302","Macromia","Odonata","Macromiidae","","Odonata"
"303","Fittkauimyia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"304","Eupera","Veneroida","Sphaeriidae","Euperinae","Veneroida"
"305","Zavreliella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"306","Hydrovatus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"307","Merragata","Hemiptera","Hebridae","Hebrinae","Hemiptera"
"308","Monopelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"309","Beardius","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"310","Erythemis","Odonata","Libellulidae","","Odonata"
"311","Hydrocanthus","Coleoptera","Noteridae","","Coleoptera"
"312","Epitheca","Odonata","Corduliidae","","Odonata"
"313","Viviparus","Mesogastropoda","Viviparidae","","Mesogastropoda"
"314","Pachydiplax","Odonata","Libellulidae","","Odonata"
"315","Hebetoncylus","Basommatophora","Ancylidae","","Basommatophora"
"316","Sisyra","Neuroptera","Sisyridae","","Neuroptera"
"317","Neothremma","Trichoptera","Uenoidae","Uenoinae","Trichoptera"
"318","Stactobiella","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"319","Parapoynx","Lepidoptera","Crambidae","Acentropinae","Lepidoptera"
"320","Chauliodes","Megaloptera","Corydalidae","Chauliodinae","Megaloptera"
"321","Chaoborus","Diptera","Chaoboridae","","Diptera, Non-chironomid"
"322","Cultus","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"323","Hesperophylax","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"324","Agabus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"325","Synendotendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"326","Hydroporus","Coleoptera","Dytiscidae","Hydroporinae","Coleoptera"
"327","Perlinella","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"328","Culicoides","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"329","Pseudorthocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"330","Ranatra","Hemiptera","Nepidae","Ranatrinae","Hemiptera"
"331","Erpobdella","Arhynchobdellida","Erpobdellidae","","Arhynchobdellida"
"332","Clinotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"333","Dromogomphus","Odonata","Gomphidae","","Odonata"
"334","Gomphus","Odonata","Gomphidae","","Odonata"
"335","Stylurus","Odonata","Gomphidae","","Odonata"
"336","Culex","Diptera","Culicidae","","Diptera, Non-chironomid"
"337","Kiefferulus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"338","Palaemonetes","Decapoda","Palaemonidae","","Decapoda"
"339","Oroperla","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"340","Erioptera","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"341","Lauterborniella","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"342","Symbiocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"343","Bibiocephala","Diptera","Blephariceridae","","Diptera, Non-chironomid"
"344","Oplonaeschna","Odonata","Aeshnidae","","Odonata"
"345","Radotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"346","Coptotomus","Coleoptera","Dytiscidae","Colymbetinae","Coleoptera"
"347","Laccophilus","Coleoptera","Dytiscidae","Laccophilinae","Coleoptera"
"348","Anchytarsus","Coleoptera","Ptilodactylidae","","Coleoptera"
"349","Unniella","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"350","Juga","Mesogastropoda","Pleuroceridae","","Mesogastropoda"
